
Device: cuda

=== Model: ConvTran ===

--- Dataset BIDMC32SpO2 ---
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/nn/modules/conv.py:543: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1027.)
  return F.conv2d(
Epoch 1/2000 | Train Loss: 2139.977428
Epoch 2/2000 | Train Loss: 1825.015399
Epoch 3/2000 | Train Loss: 1403.738018
Epoch 4/2000 | Train Loss: 956.883747
Epoch 5/2000 | Train Loss: 565.540137
Epoch 6/2000 | Train Loss: 281.997377
Epoch 7/2000 | Train Loss: 115.548324
Epoch 8/2000 | Train Loss: 38.326040
Epoch 9/2000 | Train Loss: 10.767195
Epoch 10/2000 | Train Loss: 3.253845
Epoch 11/2000 | Train Loss: 1.674318
Epoch 12/2000 | Train Loss: 1.418355
Epoch 13/2000 | Train Loss: 1.384826
Epoch 14/2000 | Train Loss: 1.369019
Epoch 15/2000 | Train Loss: 1.242430
Epoch 16/2000 | Train Loss: 0.825937
Epoch 17/2000 | Train Loss: 0.462285
Epoch 18/2000 | Train Loss: 0.304154
Epoch 19/2000 | Train Loss: 0.214527
Epoch 20/2000 | Train Loss: 0.198623
Epoch 21/2000 | Train Loss: 0.152252
Epoch 22/2000 | Train Loss: 0.119028
Epoch 23/2000 | Train Loss: 0.081914
Epoch 24/2000 | Train Loss: 0.097994
Epoch 25/2000 | Train Loss: 0.077432
Epoch 26/2000 | Train Loss: 0.062426
Epoch 27/2000 | Train Loss: 0.056937
Epoch 28/2000 | Train Loss: 0.047219
Epoch 29/2000 | Train Loss: 0.040619
Epoch 30/2000 | Train Loss: 0.039047
Epoch 31/2000 | Train Loss: 0.038242
Epoch 32/2000 | Train Loss: 0.028262
Epoch 33/2000 | Train Loss: 0.027535
Epoch 34/2000 | Train Loss: 0.029184
Epoch 35/2000 | Train Loss: 0.027247
Epoch 36/2000 | Train Loss: 0.023607
Epoch 37/2000 | Train Loss: 0.026972
Epoch 38/2000 | Train Loss: 0.023932
Epoch 39/2000 | Train Loss: 0.022063
Epoch 40/2000 | Train Loss: 0.019281
Epoch 41/2000 | Train Loss: 0.018185
Epoch 42/2000 | Train Loss: 0.015877
Epoch 43/2000 | Train Loss: 0.016234
Epoch 44/2000 | Train Loss: 0.019999
Epoch 45/2000 | Train Loss: 0.019719
Epoch 46/2000 | Train Loss: 0.017792
Epoch 47/2000 | Train Loss: 0.015869
Epoch 48/2000 | Train Loss: 0.012175
Epoch 49/2000 | Train Loss: 0.015870
Epoch 50/2000 | Train Loss: 0.013739
Epoch 51/2000 | Train Loss: 0.012404
Epoch 52/2000 | Train Loss: 0.010271
Epoch 53/2000 | Train Loss: 0.013740
Epoch 54/2000 | Train Loss: 0.015207
Epoch 55/2000 | Train Loss: 0.015654
Epoch 56/2000 | Train Loss: 0.012457
Epoch 57/2000 | Train Loss: 0.016867
Epoch 58/2000 | Train Loss: 0.008672
Epoch 59/2000 | Train Loss: 0.009249
Epoch 60/2000 | Train Loss: 0.010306
Epoch 61/2000 | Train Loss: 0.011307
Epoch 62/2000 | Train Loss: 0.011084
Epoch 63/2000 | Train Loss: 0.009101
Epoch 64/2000 | Train Loss: 0.012817
Epoch 65/2000 | Train Loss: 0.009530
Epoch 66/2000 | Train Loss: 0.010052
Epoch 67/2000 | Train Loss: 0.012449
Epoch 68/2000 | Train Loss: 0.013447
Epoch 69/2000 | Train Loss: 0.009159
Epoch 70/2000 | Train Loss: 0.008732
Epoch 71/2000 | Train Loss: 0.009938
Epoch 72/2000 | Train Loss: 0.007913
Epoch 73/2000 | Train Loss: 0.007310
Epoch 74/2000 | Train Loss: 0.010741
Epoch 75/2000 | Train Loss: 0.006905
Epoch 76/2000 | Train Loss: 0.007897
Epoch 77/2000 | Train Loss: 0.007151
Epoch 78/2000 | Train Loss: 0.006841
Epoch 79/2000 | Train Loss: 0.006439
Epoch 80/2000 | Train Loss: 0.006985
Epoch 81/2000 | Train Loss: 0.007649
Epoch 82/2000 | Train Loss: 0.006413
Epoch 83/2000 | Train Loss: 0.005528
Epoch 84/2000 | Train Loss: 0.006648
Epoch 85/2000 | Train Loss: 0.007110
Epoch 86/2000 | Train Loss: 0.012695
Epoch 87/2000 | Train Loss: 0.006431
Epoch 88/2000 | Train Loss: 0.007689
Epoch 89/2000 | Train Loss: 0.004852
Epoch 90/2000 | Train Loss: 0.004642
