model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
ConvTran,AppliancesEnergy,7.721806210611941,2.290340605236235,0.34684255883984183,2.7788138135924005,0.005437886744345489,1089.8334367275238
ConvTran,AppliancesEnergy,6.9147333718238295,2.040863037109375,0.4151096994329664,2.6295880612415,0.00033443374559283257,154.79796481132507,20251016_170905_run1_1821644519
ConvTran,AppliancesEnergy,5.2353430750647805,1.8856311525617326,0.5571627682386664,2.288087208797947,0.00034568093128894506,216.8908531665802,20251016_170905_run2_1530502700
ConvTran,AppliancesEnergy,6.522104785960524,2.059516225542341,0.4483206186757176,2.5538411826032807,0.00040788666198128147,196.5887405872345,20251016_170905_run3_1774866990
ConvTran,AppliancesEnergy,7.312040187951598,2.0253906704130626,0.38150306695611513,2.704078435983616,0.00019532231319891778,231.68051290512085,20251016_170905_run4_20287598
ConvTran,FloodModeling3,0.0004711346453314922,0.01547407439869383,0.08289858783447357,0.02170563625723725,1.2473272024216955e-05,658.0379419326782
ConvTran,FloodModeling3,0.000475612791946648,0.016582719657732094,0.07418151592023559,0.021808548597892708,2.7799769498887886e-07,434.18518567085266,20251016_170905_run1_1821644519
ConvTran,FloodModeling3,0.00041697529557908593,0.014269825395034708,0.18832411030894736,0.020419972957354423,2.097913270486092e-07,277.35483407974243,20251016_170905_run2_1530502700
ConvTran,FloodModeling3,0.00042419446320705336,0.015349163957264112,0.17427142093049963,0.020595981724769844,2.542836091061281e-07,456.4490303993225,20251016_170905_run3_1774866990
ConvTran,FloodModeling3,0.0004788532461163822,0.01638277992606163,0.06787371171910339,0.021882715693359044,3.479306474589908e-07,397.82931447029114,20251016_170905_run4_20287598
ConvTran,BenzeneConcentration,12.70743984333631,2.6477875508946687,0.8021736583277168,3.564749618603852,0.10910694802802297,2230.793349981308
ConvTran,BenzeneConcentration,12.590665778074815,2.5325813912073123,0.8039915686556572,3.5483328167006567,0.002298875932939624,1389.821215391159,20251016_170905_run1_1821644519
ConvTran,BenzeneConcentration,11.801004094763929,2.4365530148936454,0.8162848302326607,3.4352589559979214,0.0019632911064324716,1722.469159603119,20251016_170905_run2_1530502700
ConvTran,BenzeneConcentration,12.921007193995921,2.5697782208106554,0.7988488936070097,3.5945802528245103,0.0019946214307748084,1756.156519651413,20251016_170905_run3_1774866990
ConvTran,BenzeneConcentration,12.577426592369903,2.5147859716909515,0.8041976730879434,3.5464667758728408,0.001781821833235465,1587.824890613556,20251016_170905_run4_20287598
ConvTran,BeijingPM10Quality,16185.752588769503,86.59380078599116,0.11424998539380105,127.22323918517993,610.8461319177137,9307.905056715012
ConvTran,BeijingPM10Quality,16659.156756501077,87.94327295506623,0.08834338968976063,129.070355839368,16.556550517740778,5067.972758769989,20251016_170905_run1_1821644519
ConvTran,BeijingPM10Quality,16132.532216410946,85.25378094478945,0.1171624199769572,127.01390560254002,19.11211379643834,3308.763030052185,20251016_170905_run2_1530502700
ConvTran,BeijingPM10Quality,16486.947021146025,87.49232049581555,0.09776740471590795,128.4015070828455,21.87072604109445,2452.4319727420807,20251016_170905_run3_1774866990
ConvTran,BeijingPM10Quality,16662.09035136362,86.65753211782398,0.0881828514832057,129.0817196637991,20.067812981551917,3129.342082977295,20251016_170905_run4_20287598
ConvTran,Covid3Month,0.002573806765766101,0.03743131373260842,-0.2925248082157461,0.050732699176823826,4.7061295585340955e-05,387.8027021884918
ConvTran,Covid3Month,0.0027213131533317426,0.0398487186013553,-0.3666001692081746,0.05216620700541436,1.7439054967586084e-06,87.41903018951416,20251016_171109_run1_1582721660
ConvTran,Covid3Month,0.0029226427361096177,0.039432869407302534,-0.46770468250316277,0.05406147182707494,2.003257707526375e-06,78.73163199424744,20251016_171109_run2_792413071
ConvTran,Covid3Month,0.0025303680050633,0.03971348929631173,-0.270710553706315,0.0503027633939061,5.236808803082178e-06,48.9643394947052,20251016_171109_run3_648586596
ConvTran,Covid3Month,0.002846488318453535,0.042049959828680164,-0.4294611455815356,0.05335249121131585,4.175629926196832e-06,44.2794554233551,20251016_171109_run4_1891263816
ConvTran,HouseholdPowerConsumption1,38206.48756829936,141.94544553895733,0.8567267963094574,195.46479879584294,1049.3907412228168,10144.186393737793
ConvTran,HouseholdPowerConsumption1,74594.53867181933,175.3241551596639,0.720272675832228,273.1200078204073,53.191400044076396,11186.901456356049,20251016_171109_run1_1582721660
ConvTran,HouseholdPowerConsumption1,51972.752939867554,170.0789714207107,0.8051037064058663,227.97533406021705,33.08208368288591,11659.861597061157,20251016_171109_run2_792413071
ConvTran,HouseholdPowerConsumption1,41581.53087393093,149.8749011098122,0.844070483265037,203.9154993469867,34.13218361259307,9722.095383882523,20251016_171109_run3_648586596
ConvTran,HouseholdPowerConsumption1,44810.79808726544,160.11928985139718,0.8319608262754961,211.6856114318246,29.871778040124266,11315.737448453903,20251016_171109_run4_1891263816
ConvTran,FloodModeling2,9.766055606146716e-05,0.0034656860490343464,0.7149237674824118,0.009882335557016224,9.123720551327959e-06,750.8270599842072
ConvTran,FloodModeling2,0.00017002274694244258,0.007576320227698901,0.5036947761168149,0.013039277086650264,7.222349659293751e-08,302.3833680152893,20251016_171109_run1_1582721660
ConvTran,FloodModeling2,0.00010217498026186331,0.0037442373843928475,0.7017459289062609,0.010108164040114472,4.0195448866158736e-07,185.011212348938,20251016_171109_run2_792413071
ConvTran,FloodModeling2,0.00010762199759928536,0.004636173150432643,0.685845802553991,0.010374102255100697,7.278274434833871e-07,129.80211925506592,20251016_171109_run3_648586596
ConvTran,FloodModeling2,0.00010827579122222027,0.004190383488266029,0.6839373450314574,0.01040556539656641,2.441449621850622e-07,169.4091682434082,20251016_171109_run4_1891263816
ConvTran,IEEEPPG,965.060313962563,22.218383708632135,0.0011852583962784768,31.065419906425905,0.7065688077680665,8173.983336448669
ConvTran,IEEEPPG,646.2631649743206,19.16675386658634,0.3311328144026554,25.421706570848478,0.00921216128368723,7319.131259679794,20251016_171109_run1_1582721660
ConvTran,IEEEPPG,697.7696717852863,18.973974877093212,0.27782479049265896,26.415330241836582,0.019439449761383135,3444.9319763183594,20251016_171109_run2_792413071
ConvTran,IEEEPPG,723.6552345493318,19.403203355260644,0.2510338414614257,26.900840777740235,0.010918068939744077,5154.164308547974,20251016_171109_run3_648586596
ConvTran,IEEEPPG,576.4878550446273,16.91478721779513,0.4033486201397979,24.010161495596552,0.009159271934014909,6741.594094991684,20251016_171109_run4_1891263816
ConvTran,NewsHeadlineSentiment,0.02585063403920267,0.12451375274596957,-0.277651138941037,0.16078132366417025,0.014238623657616087,41290.4321937561
ConvTran,NewsHeadlineSentiment,0.025878044289746827,0.1245581122490519,-0.2790058731333702,0.16086654185922822,0.000449280690854807,37735.030903577805,20251016_171116_run1_1441077533
ConvTran,NewsHeadlineSentiment,0.02531637979522992,0.12345402114411756,-0.2512459628722137,0.15911121831985928,0.00044617803598123013,11727.879813671112,20251018_122134_run1_675063189
ConvTran,NewsHeadlineSentiment,0.026114467225131582,0.12534208196774438,-0.29069092628170035,0.1615997129487908,0.00044337430908454194,10112.555340766907,20251018_122134_run2_1103472528
ConvTran,NewsHeadlineSentiment,0.025887255389359577,0.12466058885966069,-0.27946112587081906,0.16089516894350675,0.0004385683543058222,12351.73304104805,20251018_122134_run3_1291186104
ConvTran,NewsTitleSentiment,0.023752655666350535,0.11448069394740396,-0.24535160413962598,0.15411896595276825,0.013285613125932311,29424.981297016144
ConvTran,NewsTitleSentiment,0.02433912851943184,0.11686521277170853,-0.2761003725564488,0.1560100269836264,0.0004165283436015766,20192.078096151352,20251016_171116_run1_1441077533
ConvTran,NewsTitleSentiment,0.024415407895238272,0.11697324331612649,-0.2800996998046388,0.15625430520545114,0.00041223954130714446,12957.070440769196,20251018_122134_run1_675063189
ConvTran,NewsTitleSentiment,0.024235391912606326,0.11596799879901483,-0.2706614628390327,0.15567720421630885,0.0004169573911032768,9269.060636281967,20251018_122134_run2_1103472528
ConvTran,NewsTitleSentiment,0.02414729112205822,0.11654222059911723,-0.266042338881854,0.15539398676286742,0.0004126696087272928,8896.779608726501,20251018_122134_run3_1291186104
ConvTran,PPGDalia,148.9833869428333,8.195750373156308,0.7023196939857985,12.20587509942787,37.25183844777648,17972.060076236725
ConvTran,PPGDalia,141.4698063681655,8.062745498196948,0.717332407890522,11.894108052652182,1.188058250954233,18030.98888373375,20251016_171116_run1_1441077533
ConvTran,PPGDalia,146.09436344165422,8.190155371664268,0.7080921859230587,12.086950129857168,1.1569126392643885,16996.495241642,20251018_122134_run1_675063189
ConvTran,PPGDalia,151.04771831329782,8.265717920783334,0.6981950005774631,12.290147204704175,1.140139215604638,14540.735909700394,20251018_122134_run2_1103472528
ConvTran,PPGDalia,151.46926758861375,8.339091267136043,0.6973527125891772,12.307285142898646,1.1229442229663196,14841.249561786652,20251018_122134_run3_1291186104
ConvTran,AustraliaRainfall,102.27201182646616,5.893139745464356,-0.36276993676300995,10.112962564276907,27.299770862919786,27411.85811138153
ConvTran,AustraliaRainfall,77.12809596615598,3.1114187264272113,-0.027728393969558507,8.782260299385118,0.8989891178417565,21444.838307619095,20251017_162942_run1_1420503712
ConvTran,AustraliaRainfall,76.27629173779991,3.100160934135607,-0.01637814111268776,8.733629929061564,0.8910303361194671,17497.790125608444,20251018_122607_run1_586043210
ConvTran,AustraliaRainfall,85.10439803617605,3.3161320881501815,-0.13401225866958777,9.225204498339105,0.9722120799774422,14442.9046022892,20251018_122607_run2_660976509
ConvTran,AustraliaRainfall,77.32835762634942,2.551329239843709,-0.03039687154347126,8.79365439543478,0.9205475421891866,16620.979956150055,20251018_122607_run3_331560660
ConvTran,FloodModeling1,0.00032522644232888225,0.013704677767092638,0.08452487993631985,0.018034035663957258,8.801466673544005e-06,1314.3359956741333
ConvTran,FloodModeling1,0.00030771738083421507,0.013069620226869489,0.13381087912891776,0.017541875066087294,5.441847948114993e-07,154.478178024292,20251016_184100_run1_598223841
ConvTran,FloodModeling1,0.0003041442352391897,0.013266049694306779,0.14386887401145865,0.017439731512818357,4.1732053745317027e-07,115.25997591018677,20251016_184100_run2_514974424
ConvTran,FloodModeling1,0.0002791222738752115,0.01253337553232023,0.21430282433814285,0.016706952860267833,3.6472759477192565e-07,187.30848622322083,20251016_184100_run3_1370229738
ConvTran,FloodModeling1,0.00031671240581033756,0.012858501755365051,0.1084909158718581,0.01779641553263852,4.3718179503347993e-07,179.10364603996277,20251016_184100_run4_1218383905
ConvTran,HouseholdPowerConsumption2,1988.396802584243,32.66065525695812,0.2927159381120584,44.59144315431205,30.268594042886825,8537.519685268402
ConvTran,HouseholdPowerConsumption2,2318.800326677867,34.44894778867505,0.17518952372670438,48.15392327399572,0.6717527216712901,3616.2006237506866,20251016_184100_run1_598223841
ConvTran,HouseholdPowerConsumption2,2109.4193468587505,33.536854450973756,0.2496675301769623,45.928415462094385,0.7013711942122287,3908.94167637825,20251016_184100_run2_514974424
ConvTran,HouseholdPowerConsumption2,1675.911448206682,30.620650768627577,0.4038687575278854,40.93789745708348,0.8570964634018456,3173.830846786499,20251016_184100_run3_1370229738
ConvTran,HouseholdPowerConsumption2,2010.0472315789839,32.02087835424496,0.2850147572707318,44.83355028969916,1.151156530444254,2887.1774764060974,20251016_184100_run4_1218383905
ConvTran,LiveFuelMoistureContent,3190.0371374691204,43.90334971851071,-0.8858948962285855,56.48041375086695,140.50902833236927,5467.7931208610535
ConvTran,LiveFuelMoistureContent,3167.608602714204,43.509925738233605,-0.8726355335937859,56.28151208624555,5.359076569014144,1342.1413044929504,20251016_184100_run1_598223841
ConvTran,LiveFuelMoistureContent,3082.090631627668,42.983502837680035,-0.8220787851115798,55.516579790434385,5.767875004115024,1355.3200087547302,20251016_184100_run2_514974424
ConvTran,LiveFuelMoistureContent,3513.1459919791146,45.11921959053602,-1.0769112742166183,59.27179761049191,3.843382213165519,2280.703922510147,20251016_184100_run3_1370229738
ConvTran,LiveFuelMoistureContent,3049.48576371919,43.095186750778296,-0.8028033499579976,55.22214921314807,4.354507143778,1513.0679848194122,20251016_184100_run4_1218383905
ConvTran,BeijingPM25Quality,8971.238904904556,66.21344776926252,0.2925603508945649,94.71662422671406,102.84536101996528,7782.857771158218
ConvTran,BeijingPM25Quality,8633.98200300676,63.16598098648331,0.3191552177647947,92.91922300044679,9.087374736967053,1230.7771036624908,20251016_184100_run1_598223841
ConvTran,BeijingPM25Quality,9044.7257178827,64.09612873938117,0.28676544500272494,95.10376290075331,10.658006295839359,1013.8294909000397,20251016_184100_run2_514974424
ConvTran,BeijingPM25Quality,9302.01372129837,65.34670092753487,0.2664766379845648,96.44694770337924,10.893477722029695,988.6461496353149,20251016_184100_run3_1370229738
ConvTran,BeijingPM25Quality,8860.323673762849,64.82186253786843,0.3013067272904093,94.12929232583686,11.698419308778442,682.8695859909058,20251016_184100_run4_1218383905
ConvTran,BIDMC32RR,13.789374715818306,2.7671721352294565,-0.1376924981291272,3.7134047336397775,0.0014085493272871896,172558.9001467228
ConvTran,BIDMC32RR,12.719828455639298,2.639163415995475,-0.0494495732913629,3.566486850619149,0.0013743546738936633,126739.3902695179,20251017_084645_run1_1640871621
ConvTran,BIDMC32RR,11.457241383484426,2.5690483599714855,0.05472018565917369,3.384854706406824,0.0017479634429753486,128281.5086505413,20251017_084645_run2_1560151670
ConvTran,BIDMC32RR,13.053780334119905,2.6776517937212203,-0.07700227634813595,3.6130015685188823,0.0012286023694289046,182014.60521101952,20251017_084645_run3_2072630393
ConvTran,BIDMC32RR,17.553735767534235,3.048834444135862,-0.4482711441553211,4.1897178625218,0.0014368007240280142,169559.5150642395,20251017_084645_run4_1858476607

ConvTran,BIDMC32HR,21.02254811328267,2.3976669375128226,0.8936710935032772,4.585035235773295,0.0021387973168753346,213143.10471391678

ConvTran,BIDMC32SpO2,26.880035760522635,3.756220965049524,-0.22312264842240292,5.184596007455416,0.00044057579931849195,221715.83642578125
