model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
ConvTran,FloodModeling1,0.00030771738083421507,0.013069620226869489,0.13381087912891776,0.017541875066087294,5.441847948114993e-07,154.478178024292,20251016_184100_run1_598223841
ConvTran,FloodModeling1,0.0003041442352391897,0.013266049694306779,0.14386887401145865,0.017439731512818357,4.1732053745317027e-07,115.25997591018677,20251016_184100_run2_514974424
ConvTran,FloodModeling1,0.0002791222738752115,0.01253337553232023,0.21430282433814285,0.016706952860267833,3.6472759477192565e-07,187.30848622322083,20251016_184100_run3_1370229738
ConvTran,FloodModeling1,0.00031671240581033756,0.012858501755365051,0.1084909158718581,0.01779641553263852,4.3718179503347993e-07,179.10364603996277,20251016_184100_run4_1218383905

ConvTran,HouseholdPowerConsumption2,2318.800326677867,34.44894778867505,0.17518952372670438,48.15392327399572,0.6717527216712901,3616.2006237506866,20251016_184100_run1_598223841
ConvTran,HouseholdPowerConsumption2,2109.4193468587505,33.536854450973756,0.2496675301769623,45.928415462094385,0.7013711942122287,3908.94167637825,20251016_184100_run2_514974424
ConvTran,HouseholdPowerConsumption2,1675.911448206682,30.620650768627577,0.4038687575278854,40.93789745708348,0.8570964634018456,3173.830846786499,20251016_184100_run3_1370229738
ConvTran,HouseholdPowerConsumption2,2010.0472315789839,32.02087835424496,0.2850147572707318,44.83355028969916,1.151156530444254,2887.1774764060974,20251016_184100_run4_1218383905

ConvTran,LiveFuelMoistureContent,3167.608602714204,43.509925738233605,-0.8726355335937859,56.28151208624555,5.359076569014144,1342.1413044929504,20251016_184100_run1_598223841
ConvTran,LiveFuelMoistureContent,3082.090631627668,42.983502837680035,-0.8220787851115798,55.516579790434385,5.767875004115024,1355.3200087547302,20251016_184100_run2_514974424
ConvTran,LiveFuelMoistureContent,3513.1459919791146,45.11921959053602,-1.0769112742166183,59.27179761049191,3.843382213165519,2280.703922510147,20251016_184100_run3_1370229738
ConvTran,LiveFuelMoistureContent,3049.48576371919,43.095186750778296,-0.8028033499579976,55.22214921314807,4.354507143778,1513.0679848194122,20251016_184100_run4_1218383905

ConvTran,BeijingPM25Quality,8633.98200300676,63.16598098648331,0.3191552177647947,92.91922300044679,9.087374736967053,1230.7771036624908,20251016_184100_run1_598223841
ConvTran,BeijingPM25Quality,9044.7257178827,64.09612873938117,0.28676544500272494,95.10376290075331,10.658006295839359,1013.8294909000397,20251016_184100_run2_514974424
ConvTran,BeijingPM25Quality,9302.01372129837,65.34670092753487,0.2664766379845648,96.44694770337924,10.893477722029695,988.6461496353149,20251016_184100_run3_1370229738
ConvTran,BeijingPM25Quality,8860.323673762849,64.82186253786843,0.3013067272904093,94.12929232583686,11.698419308778442,682.8695859909058,20251016_184100_run4_1218383905

ConvTran,BIDMC32RR,12.719828455639298,2.639163415995475,-0.0494495732913629,3.566486850619149,0.0013743546738936633,126739.3902695179,20251017_084645_run1_1640871621
ConvTran,BIDMC32RR,11.457241383484426,2.5690483599714855,0.05472018565917369,3.384854706406824,0.0017479634429753486,128281.5086505413,20251017_084645_run2_1560151670
ConvTran,BIDMC32RR,13.053780334119905,2.6776517937212203,-0.07700227634813595,3.6130015685188823,0.0012286023694289046,182014.60521101952,20251017_084645_run3_2072630393
ConvTran,BIDMC32RR,17.553735767534235,3.048834444135862,-0.4482711441553211,4.1897178625218,0.0014368007240280142,169559.5150642395,20251017_084645_run4_1858476607
