model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
FCN,AppliancesEnergy,8.00818129571421,2.0958048502604165,0.32261920840916614,2.8298730175953493,0.04416728458906475,136.97573137283325
FCN,AppliancesEnergy,7.982712429298756,2.1013187113262357,0.32477352038792406,2.8253694323572547,0.0007164511437478819,29.778871297836304,20251016_161048_run1_1925671834
FCN,AppliancesEnergy,8.951035584070897,2.2499971162705195,0.24286684509245826,2.9918281341131374,0.002280047535896301,40.4352753162384,20251016_161048_run2_966578316
FCN,AppliancesEnergy,6.286900712686496,1.9629581315176827,0.46821561298922243,2.5073692812759942,0.0013353612862135236,59.0699257850647,20251016_161048_run3_1554900616
FCN,AppliancesEnergy,9.106087534516757,2.3014427593776157,0.22975160593235966,3.0176294561322066,0.001732498995567623,34.135239124298096,20251016_161048_run4_757901044
FCN,FloodModeling3,0.0007145569199994139,0.020132006672413452,-0.3909424129550587,0.026731197504029143,0.00014328414041441507,288.9394009113312
FCN,FloodModeling3,0.0007643044838844742,0.021404681484336437,-0.4877800400386765,0.027646057293662585,5.771732463209406e-06,53.2775719165802,20251016_161048_run1_1925671834
FCN,FloodModeling3,0.0006221541057278423,0.016777285577162453,-0.21107291641887893,0.024943017173706998,7.198794709902804e-06,89.2451958656311,20251016_161048_run2_966578316
FCN,FloodModeling3,0.0005008687276695669,0.016324621341798618,0.025018809363697825,0.022380096685885136,4.753123956356883e-06,185.8561828136444,20251016_161048_run3_1554900616
FCN,FloodModeling3,0.0004697655887350885,0.01597072475630304,0.08556356641403229,0.02167407642173222,3.99084921708083e-06,227.78658723831177,20251016_161048_run4_757901044
FCN,BenzeneConcentration,11.148564006336944,2.481697752168422,0.8264418592994979,3.338946541401486,0.030335755555460295,1834.629812002182
FCN,BenzeneConcentration,12.731327226007576,2.6548041938731033,0.8018017853474595,3.5680985448845965,0.000663997663285669,2952.475307703018,20251016_161048_run1_1925671834
FCN,BenzeneConcentration,11.585229604824125,2.5148194389485954,0.8196439551624064,3.4037082138197636,0.000619890457800642,2905.9025411605835,20251016_161048_run2_966578316
FCN,BenzeneConcentration,12.510009024972693,2.6092327302529235,0.8052472134270724,3.5369491125789034,0.0007021158578240825,2769.4169733524323,20251016_161048_run3_1554900616
FCN,BenzeneConcentration,12.513863264512402,2.6910750862646076,0.8051872115606484,3.5374939243074897,0.0013157811325080148,1746.7883470058441,20251016_161048_run4_757901044
FCN,BeijingPM10Quality,13823.680633278349,79.95974884622638,0.24351214095948437,117.57414951118443,247.71009547807643,6329.822262048721
FCN,BeijingPM10Quality,13218.469994024323,75.50070704068699,0.27663172125821134,114.97160516416356,4.107396593268315,14058.994055509567,20251016_161048_run1_1925671834
FCN,BeijingPM10Quality,13281.708139418613,78.9587076159929,0.27317107351264236,115.24629338689645,4.328872331458263,11877.14218711853,20251016_161048_run2_966578316
FCN,BeijingPM10Quality,13416.817940319468,78.18195877740197,0.26577731733942567,115.83098868748151,6.606230140272493,7841.849161624908,20251016_161048_run3_1554900616
FCN,BeijingPM10Quality,13361.361921991514,76.93377961031797,0.268812095535533,115.59135747101301,9.105517299528548,5034.375828027725,20251016_161048_run4_757901044
FCN,FloodModeling1,0.00025315031604859333,0.011591090571762311,0.28741090570862415,0.015910698163455722,0.0002041799954601886,214.6918797492981
FCN,FloodModeling1,0.00022518996861449248,0.010729502333272802,0.3661160756848433,0.015006330951118347,6.460007474136849e-06,53.1075394153595,20251016_161100_run1_819635891
FCN,FloodModeling1,0.0004687110933504765,0.017499340937869385,-0.3193679498737978,0.02164973656538288,5.162068427146873e-06,264.39294362068176,20251016_161100_run2_1859861795
FCN,FloodModeling1,0.00036050574344502994,0.014415364159215795,-0.014782304909393584,0.018986988793514098,2.47650684871871e-06,370.3418221473694,20251016_161100_run3_1598936485
FCN,FloodModeling1,0.0028217927492822604,0.05003391840670368,-6.943022828788567,0.05312054921856758,8.166392829126803e-06,108.37035942077637,20251016_161100_run4_1914698265
