model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
MLP,AppliancesEnergy,11.672034006152211,2.6827877930232455,0.012708211439488637,3.416435863023366,1.7708449263321726,47.47634029388428
MLP,AppliancesEnergy,10.526807466896766,2.512732664744059,0.1095784533915346,3.244504194310244,0.045753628329226845,13.070180654525757,20251016_160847_run1_844214885
MLP,AppliancesEnergy,12.011087352357295,2.662757010686965,-0.01597098744014147,3.4657015671227804,0.06175659957684969,26.073363542556763,20251016_160847_run2_1980493821
MLP,AppliancesEnergy,13.982859346611283,3.1323597317650202,-0.18275548256879293,3.7393661691002236,0.053252478649741725,29.275352001190186,20251016_160847_run3_379845023
MLP,AppliancesEnergy,11.191718284076268,2.5705271448407854,0.05333624320088848,3.3454025593456267,0.05282245184245862,26.63691735267639,20251016_160847_run4_121957888
MLP,FloodModeling3,0.0004906544893211932,0.015936943337969158,0.04490164435855937,0.022150722094802986,1.154525689174552e-05,461.6207003593445
MLP,FloodModeling3,0.0005453447368651011,0.017472271038138348,-0.06155731329018188,0.023352617345066506,3.330070976432362e-07,86.10282492637634,20251016_160847_run1_844214885
MLP,FloodModeling3,0.0005246366341338769,0.016809024402628773,-0.02124732877458335,0.02290494780901884,3.5742201332473965e-07,315.77773094177246,20251016_160847_run2_1980493821
MLP,FloodModeling3,0.0005265541115481551,0.016221502714830895,-0.024979852506080036,0.022946766908393763,3.5311609970063507e-07,298.7274923324585,20251016_160847_run3_379845023
MLP,FloodModeling3,0.0005415775509877249,0.015916807010121967,-0.05422418353148872,0.023271818815634605,3.503848028398487e-07,294.99547815322876,20251016_160847_run4_121957888
MLP,BenzeneConcentration,17.932452213078573,2.950092391238849,0.7208319329257606,4.234672621712164,0.8384232642615721,1248.5691964626312
MLP,BenzeneConcentration,16.847931088440152,2.8600984805721934,0.7377154947760287,4.104623135982176,0.02856726848338746,980.5319058895111,20251016_160847_run1_844214885
MLP,BenzeneConcentration,16.898028979812317,2.812087053566184,0.7369355829528894,4.1107212238015265,0.06184862209242043,488.9657618999481,20251016_160847_run2_1980493821
MLP,BenzeneConcentration,16.850718734177313,2.928160932130784,0.7376720973832527,4.104962695832608,0.029920919817502764,1399.3076643943787,20251016_160847_run3_379845023
MLP,BenzeneConcentration,16.30386305223985,2.8251929220050984,0.746185414016195,4.03780423649288,0.02946507555223216,1431.0157940387726,20251016_160847_run4_121957888
MLP,BeijingPM10Quality,14312.149621913859,82.22148759315962,0.21678113716799052,119.63339676659632,489.3187071698927,7418.874938011169
MLP,BeijingPM10Quality,14309.561516565447,81.40269674552034,0.21692276878737837,119.62257945958801,15.59095628830906,9511.90668296814,20251016_160847_run1_844214885
